source,author,title,description,url,published_at
Decrypt,Luke Edwards,Lazarus Infects New Batch of JavaScript Packages With Crypto Stealing Malware: Researchers,"""The tactics, techniques, and procedures (TTPs) observed in this npm attack closely align with Lazarus’s known operations,"" a cybersecurity research said.",https://decrypt.co/309669/lazarus-javascript-crypto-stealing-malware,2025-03-12T15:34:58Z
newsBTC,Christian Encila,XRP Crashing? Analyst Sounds Alarm On Looming Price Threat,"An analyst is expressing apprehension regarding the price movement of XRP, cautioning that the cryptocurrency may be on the brink of a significant decline. A bearish price pattern is forming on the charts, which, if confirmed, could result in a significant se…",http://www.newsbtc.com/altcoin/xrp-crashing-analyst-sounds-alarm-on-looming-price-threat/,2025-03-12T15:30:41Z
Biztoc.com,finance.yahoo.com,Russian central bank proposes wealthy individuals be allowed to invest in crypto,"Russia's central bank has proposed regulating certain cryptocurrency investments for wealthy individuals, it said on Wednesday, outlining plans for ""specially qualified"" investors to trade crypto assets.
The bank has gradually softened its strong opposition t…",https://biztoc.com/x/92fdc8edbc5b3d1d,2025-03-12T15:17:43Z
GlobeNewswire,Qwadrox,QwadroX (QWRX) Announces 1 Billion Token Giveaway to Support Crypto and Philanthropy,"LOS ANGELES, March 12, 2025 (GLOBE NEWSWIRE) -- QwadroX (QWRX), one of the most promising cryptocurrencies of 2025, is set to distribute 1 billion tokens on March 31, 2025. According to predictions by ChatGPT and DeepSeek, QWRX has immense growth potential. W…",https://www.globenewswire.com/news-release/2025/03/12/3041581/0/en/QwadroX-QWRX-Announces-1-Billion-Token-Giveaway-to-Support-Crypto-and-Philanthropy.html,2025-03-12T15:17:00Z
CoinDesk,Matt Gerics,Why There's More to BNB Than Meets the Eye,"Many investors dismiss BNB as simply ""the Binance coin,"" but that designation fails to recognize the potential arising from its broader value unlock, says Osprey Funds’ Matt Gerics.",https://www.coindesk.com/coindesk-indices/2025/03/12/why-there-s-more-to-bnb-than-meets-the-eye,2025-03-12T15:14:08Z
CNA,,Binance says Abu Dhabi's MGX invests $2 billion into crypto exchange,Cryptocurrency exchange Binance said on Wednesday Abu Dhabi investment group MGX had invested $2 billion worth of cryptocurrency into the company. Binance said in a statement posted on its website that it was the first time it had taken institutional investme…,https://www.channelnewsasia.com/business/binance-says-abu-dhabis-mgx-invests-2-billion-crypto-exchange-4996236,2025-03-12T15:08:51Z
CNA,,Binance says Abu Dhabi's MGX invests $2 billion into crypto exchange,Cryptocurrency exchange Binance said on Wednesday Abu Dhabi investment group MGX had invested $2 billion worth of cryptocurrency into the company. Binance said in a statement posted on its website that it was the first time it had taken institutional investme…,https://www.channelnewsasia.com/business/crypto-exchange-binance-gets-2-billion-investment-abu-dhabis-mgx-4996236,2025-03-12T15:08:51Z
Yahoo Entertainment,Reuters,Crypto exchange Binance gets $2 billion investment from Abu Dhabi's MGX,"DUBAI (Reuters) -Abu Dhabi investment group MGX has invested $2 billion worth of cryptocurrency into Binance, in what the world's largest cryptocurrency...",https://finance.yahoo.com/news/binance-says-abu-dhabis-mgx-150851375.html,2025-03-12T15:08:51Z
Yahoo Entertainment,Reuters,Russian central bank proposes wealthy individuals be allowed to invest in crypto,"Russia's central bank has proposed regulating certain cryptocurrency investments for wealthy individuals, it said on Wednesday, outlining plans for...",https://finance.yahoo.com/news/russian-central-bank-proposes-wealthy-150612589.html,2025-03-12T15:06:12Z
Biztoc.com,benzinga.com,XRP Spikes 3%: Why Is It Going Up?,"XRP (CRYPTO: XRP) is up on Wedneday amid growing institutional interest.
What Happened: Cryptocurrency options exchange Deribit noted the positive impact of ETF filings on the price of XRP, despite the looming threat of tariffs.
Cryptocurrency
Price 
24-Hour …",https://biztoc.com/x/4412c5729ee0eed1,2025-03-12T15:05:57Z
Bitcoinist,Christian Encila,Bitcoin Whales Selling Less? Analyst Sees Signs Of A Rebound,"A shift in Bitcoin whale activity is occurring on Binance, which may cause the market to go in a different route. There is uncertainty as a result of some major Bitcoin holders decreasing their holdings while others are buying. This change in whale behavior m…",https://bitcoinist.com/bitcoin-whales-selling-less-analyst-sees-signs-of-a-rebound/,2025-03-12T15:00:18Z
GlobeNewswire,"ReversingLabs US, Inc.","ReversingLabs Annual Software Supply Chain Security Report Spotlights Mounting Attacks on AI, Crypto, Open Source, and Commercial Software","ReversingLabs has released its 3rd annual Software Supply Chain Security Report, which details the growing sophistication of software supply chain attacks.",https://www.globenewswire.com/news-release/2025/03/12/3041573/0/en/ReversingLabs-Annual-Software-Supply-Chain-Security-Report-Spotlights-Mounting-Attacks-on-AI-Crypto-Open-Source-and-Commercial-Software.html,2025-03-12T15:00:00Z
TechRadar,Sead Fadilpašić,Hackers are abusing $TRUMP tokens to lure victims in to new phishing scam,"A new campaign promises $TRUMP tokens to those that download Binance, fast.",https://www.techradar.com/pro/security/hackers-are-abusing-usdtrump-tokens-to-lure-victims-in-to-new-phishing-scam,2025-03-12T15:00:00Z
Decrypt,Decrypt Staff,Binance Secures $2 Billion Investment From Abu Dhabi Firm—Paid in Stablecoins,"Binance announced Wednesday that Abu Dhabi-based AI and tech investor MGX has put $2 billion into the company, paid in stablecoins.",https://decrypt.co/309666/binance-2b-investment-abu-dhabi-firm,2025-03-12T14:56:44Z
Forbes,"Thomas Brewster, Forbes Staff, 
 Thomas Brewster, Forbes Staff
 https://www.forbes.com/sites/thomasbrewster/",The Wiretap: A $60 Million Bitcoin Seizure Shows Cops Are Still Chasing Down Silk Road Dealers,Silk Road drug dealers have been sitting on millions in crypto for years.,https://www.forbes.com/sites/thomasbrewster/2025/03/12/the-wiretap-a-60-million-bitcoin-seizure-shows-cops-are-still-chasing-down-silk-road-dealers/,2025-03-12T14:48:15Z
Forbes,"Clem Chambers, Senior Contributor, 
 Clem Chambers, Senior Contributor
 https://www.forbes.com/sites/investor/people/clem/","Bitcoin Crash 2025, The Crypto Cycle Repeats: A Road Map","This is the third crypto cycle I’ve written about here on Forbes. So far, as you can verify, I’ve consistently been a bull at the bottom and a bear near the top.",https://www.forbes.com/sites/digital-assets/2025/03/12/bitcoin-crash-2025-the-crypto-cycle-repeats-a-road-map/,2025-03-12T14:39:56Z
ZyCrypto,Brenda Ngari,XRP Poised For Meteoric Moonshot As This Fund Giant Files SEC Paperwork To Launch Spot XRP ETF,"Franklin Templeton, a financial services company with $1.6 trillion of assets under management, has officially filed a registration statement with the U.S. Securities and Exchange Commission for a spot XRP exchange-traded fund (ETF). Franklin Templeton has be…",https://zycrypto.com/xrp-poised-for-meteoric-moonshot-as-this-fund-giant-files-sec-paperwork-to-launch-spot-xrp-etf/,2025-03-12T14:34:06Z
ZyCrypto,Troy Watson,"European Union Pushes Own Digital Currency, Fears American Dominance and Dollar-Backed Stablecoin",Pierre Gramegna stated on March 10 that Trump's recent endorsement of cryptos could present financial difficulties for the European Union.,https://zycrypto.com/european-union-pushes-own-digital-currency-fears-american-dominance-and-dollar-backed-stablecoin/,2025-03-12T14:27:12Z
Bitcoinist,Bitcoinist,"Senator Lummis’s Bitcoin Act Allows for a Reserve of 1M+ Bitcoin, Fueling Projects Like BTC Bull Token","Senator Lummis’s Bitcoin Act extends the Federal Reserve’s Bitcoin capacity to over 1M bitcoins. We mull over how this might affect the price of Bitcoin, and related coins like BTC Bull Token. The act touches upon several critical points, such as the establis…",https://bitcoinist.com/lummis-bitcoin-act-may-turn-btc-bull-token-bullish/,2025-03-12T14:19:10Z
CoinDesk,Oliver Knight,Bolivian State Energy Firm to Use Crypto to Pay for Imports: Reuters,YBFB hopes that using crypto will be a direct solution to the nation's shortage in U.S. dollars and foreign currency reserves.,https://www.coindesk.com/business/2025/03/12/bolivian-state-energy-firm-to-use-crypto-to-pay-for-imports-reuters,2025-03-12T14:18:53Z
newsBTC,Krishi Chowdhary,"Why Is Crypto Down Today, Best Crypto to Buy as Canada Tariffs Eased","Donald Trump has decided not to double tariffs on Canadian aluminum and steel, offering a sigh of relief to the US stock market. The decision to retract tariffs on Canadian metals came after Canada’s announcement that it wouldn’t go ahead with its plan of ret…",http://www.newsbtc.com/news/why-is-crypto-down-today-best-crypto-to-buy-as-canada-tariffs-eased/,2025-03-12T14:13:47Z
Biztoc.com,investors.com,"Is It Time To Short Bitcoin? Analyst Eyes Drop To $73,000","Cryptocurrency momentum has stalled. Analysts expect bitcoin to fall even lower as it faces a key moving average. Short BTC ETFs jump.
The post Is It Time To Short Bitcoin? Analyst Eyes Drop To $73,000. appeared first on Investor's Business Daily.",https://biztoc.com/x/fc457c557a6c0466,2025-03-12T14:12:31Z
Cointelegraph,Cointelegraph by Zoltan Vardai,Crypto whale liquidated for $308M in leveraged Ether trade,"A large cryptocurrency trader, known as a whale, lost more than $308 million on a leveraged Ether position, underscoring the risks of leveraged trading during volatile market conditions.The unknown crypto trader was liquidated on their 50x leveraged long posi…",https://cointelegraph.com/news/ether-trader-loses-308-m-50x-leverage-market-volatility,2025-03-12T13:57:59Z
Crooksandliars.com,NewsHound Ellen,Trump Wants Violence Against Tesla Charged As Domestic Terrorism,"While Donald Trump destroys the livelihoods of thousands of Americans and threatens the health and wellbeing of millions more, there’s one person he’s bending over backwards to protect: his illegal immigrant buddy and megadonor who is also the world’s richest…",https://crooksandliars.com/2025/03/trump-wants-violence-against-tesla-charged,2025-03-12T13:49:23Z
Coinjournal.net,Charles Thuo,Nasdaq-listed video-sharing platform Rumble invests $17.1M in Bitcoin (BTC),"Rumble bought 188 Bitcoin (BTC) for $17.1M, nearing its $20M goal. Rumble’s CEO sees BTC as an inflation hedge and crypto tie-in. Future Rumble BTC purchases depend on market and cash flow conditions. Rumble, a Nasdaq-listed video-sharing platform and cloud s…",https://coinjournal.net/news/nasdaq-listed-video-sharing-platform-rumble-invests-17-1m-in-bitcoin-btc/,2025-03-12T13:47:56Z
CoinDesk,Francisco Rodrigues,Bank of Russia Proposes Crypto Investment Pilot for High-Net-Worth Investors,The central banks aims to establish standards for crypto-related services and increase market transparency while expanding investment opportunities for wealthy investors.,https://www.coindesk.com/policy/2025/03/12/bank-of-russia-proposes-limited-crypto-investment-pilot-for-high-net-worth-investors,2025-03-12T13:45:02Z
Cointelegraph,Cointelegraph by Arunkumar Krishnakumar,US Bitcoin reserve vs. gold and oil reserves: How do they compare?,"US reserves status quo: Gold, oil and the emerging role of Bitcoin 
The US government has long relied on gold and oil as reserve assets, but with the growing institutional adoption of Bitcoin (BTC), its potential role as a strategic reserve has increased sub…",https://cointelegraph.com/explained/us-bitcoin-reserve-vs-gold-and-oil-reserves-how-do-they-compare,2025-03-12T13:40:00Z
Yahoo Entertainment,Reuters,"Bolivia turns to crypto for energy imports amid dollar, fuel shortages",Bolivia's state energy firm YPFB will use cryptocurrency to pay for energy imports amid a painful shortage of dollars and fuel in the landlocked South...,https://finance.yahoo.com/news/bolivia-turns-crypto-energy-imports-132947930.html,2025-03-12T13:29:47Z
CNA,,"Bolivia turns to crypto for energy imports amid dollar, fuel shortages","LA PAZ : Bolivia's state energy firm YPFB will use cryptocurrency to pay for energy imports amid a painful shortage of dollars and fuel in the landlocked South American nation, a company spokesperson and a government official told Reuters on Wednesday.The cou…",https://www.channelnewsasia.com/business/bolivia-turns-crypto-energy-imports-amid-dollar-fuel-shortages-4996001,2025-03-12T13:29:47Z
RT,RT,Russian man arrested for funding pro-Kiev terrorists with crypto – FSB,"The suspect has been charged with treason, the agency has said

  Read Full Article at RT.com",https://www.rt.com/russia/614068-fsb-arrest-treason/,2025-03-12T13:17:19Z
GlobeNewswire,Research and Markets,United States Gift and Incentive Card Market Report 2025: Gyft and Prezzee Enter the Market with Unique Digital Gift Card Solutions,"The U.S. gift card market is set to grow 7.9% in 2025, reaching $234.14 billion, with digital gift cards driving demand. The market, which saw a CAGR of 8.7% from 2020-2024, is expected to continue expanding at 7.0% CAGR through 2029, reaching $307.24 billion…",https://www.globenewswire.com/news-release/2025/03/12/3041432/28124/en/United-States-Gift-and-Incentive-Card-Market-Report-2025-Gyft-and-Prezzee-Enter-the-Market-with-Unique-Digital-Gift-Card-Solutions.html,2025-03-12T13:14:00Z
Pypi.org,igor.kroitor@gmail.com,ccxt 4.4.67,A JavaScript / TypeScript / Python / C# / PHP cryptocurrency trading library with support for 100+ exchanges,https://pypi.org/project/ccxt/4.4.67/,2025-03-12T13:11:57Z
Bitcoinist,Bitcoinist,"The 3 Best Meme Coins To Invest In As Metaplanet Buys 162 Bitcoins, Boosting Its Portfolio","When cryptocurrencies dip in value, do companies keep their heads down and ride out the storm? Recent investments seem to prove this isn’t the case. Metaplanet becomes the latest company to take advantage of the lower Bitcoin price. They’ve boosted their Bitc…",https://bitcoinist.com/best-meme-coins-metaplanet-buys-162-bitcoin/,2025-03-12T13:05:19Z
KQED,Guy Marzorati,Porter Enters Crowded Field for California Governor as Kamala Harris Weighs Run,Katie Porter promises “fresh blood and new ideas” in 2026 race to succeed Gov. Gavin Newsom.,https://www.kqed.org/news/12030744/porter-enters-crowded-field-for-california-governor-as-kamala-harris-weighs-run,2025-03-12T13:00:31Z
Cointelegraph,Cointelegraph by Zoltan Vardai,Bitcoin’s next catalyst: End of $36T US debt ceiling suspension,"Bitcoin’s next significant price catalyst may arrive this Friday as the United States debt suspension period comes to an end, potentially injecting fresh liquidity into markets and driving a price rebound.The US Treasury hit its $36 trillion debt ceiling a da…",https://cointelegraph.com/news/bitcoin-catalyst-end-of-36-t-us-debt-ceiling-suspension,2025-03-12T12:56:39Z
Cointelegraph,Cointelegraph by Helen Partz,Bank of Russia proposes to allow crypto purchases for select investors,"The Russian central bank is considering a new experimental regime to legally authorize select Russian investors to trade cryptocurrencies.On March 12, the Bank of Russia announced a proposal to allow a “limited circle of Russian investors” to buy and sell cry…",https://cointelegraph.com/news/bank-of-russia-proposes-to-allow-limited-crypto-investments,2025-03-12T12:51:30Z
GlobeNewswire,MEXC,MEXC Ventures Invests $36 Million in Ethena & USDE to Accelerate Stablecoin Innovation and Mass Adoption of Cryptocurrency,"VICTORIA, Seychelles, March 12, 2025 (GLOBE NEWSWIRE) -- MEXC Ventures, the investment arm of the global cryptocurrency exchange MEXC, has made a strategic investment of $16 million in Ethena, a leading innovator in the stablecoin space. In addition to this i…",https://www.globenewswire.com/news-release/2025/03/12/3041374/0/en/MEXC-Ventures-Invests-36-Million-in-Ethena-USDE-to-Accelerate-Stablecoin-Innovation-and-Mass-Adoption-of-Cryptocurrency.html,2025-03-12T12:34:00Z
newsBTC,Christian Encila,XRP Cycle Top Forecast—Analyst Pinpoints The Timeline,"A prominent analyst in the cryptocurrency community once again gave his insight on the price trajectory of XRP this year, noting that the altcoin is ripe for a massive uptick in its price in the next few months. Egrag Crypto provided an analysis of a potentia…",http://www.newsbtc.com/altcoin/xrp-cycle-top-forecast-analyst-pinpoints-the-timeline/,2025-03-12T12:30:26Z
Coinjournal.net,Benson Toti,Pi Network price pumps 20% in 24 hours: Why is PI surging?,"Pi Network (PI)’s is up +20% in the last 24 hours, hitting highs of $1.74. While PI price remains 44% off its peak of $2.99, buyers may push the token higher. Potential catalysts and which could catapult PI up include upcoming Pi Day and possible Binance list…",https://coinjournal.net/news/pi-network-price-pumps-20-in-24-hours-why-is-pi-surging/,2025-03-12T12:24:18Z
The Times of India,PTI,"Intel agency pins 'suspicion' of crypto being used for terror financing, drugs trafficking in India","A federal financial intelligence unit in India suspects that cryptocurrency is being used for serious criminal activities such as terrorist financing, cybercrime, and narcotics trafficking. They shared their findings with relevant law enforcement agencies, wh…",https://economictimes.indiatimes.com/news/india/intel-agency-pins-suspicion-of-crypto-being-used-for-terror-financing-drugs-trafficking-in-india/articleshow/118935950.cms,2025-03-12T12:19:01Z
Forbes,"Gene A. Grant II, Contributor, 
 Gene A. Grant II, Contributor
 https://www.forbes.com/sites/genegrant/",Banks In The USA Should Be Permitted To Own Cryptocurrency,"Banks need to enter the market. Regulatory uncertainty, concerns over volatility, and the perceived risks associated with digital assets have kept banks on the sidelines.",https://www.forbes.com/sites/digital-assets/2025/03/12/banks-in-the-usa-should-be-permitted-to-own-cryptocurrency/,2025-03-12T12:15:00Z
GlobeNewswire,Bybit Fintech FZE,Bybit Introduces USDe Minting and Redemption on On-Chain Earn,"DUBAI, United Arab Emirates, March 12, 2025 (GLOBE NEWSWIRE) -- Bybit
, the world’s second-largest cryptocurrency exchange by trading volume, has announced a groundbreaking enhancement to its On-Chain Earn
 product. Since recently, users can now seamlessly …",https://www.globenewswire.com/news-release/2025/03/12/3041329/0/en/Bybit-Introduces-USDe-Minting-and-Redemption-on-On-Chain-Earn.html,2025-03-12T12:09:00Z
